,Document,tokenizedDocument,dm1,dm2,dm3,dm4,dm5,dm6,dm7,dm8,dm9,dm10,dm11,dm12,dm13,dm14,dm15,dm16,dm17,dm18,dm19,dm20,dm21,dm22,dm23,dm24,dm25,dm26,dm27,dm28,dm29,dm30,dm31,dm32,dm33,dm34,dm35,dm36,dm37,dm38,dm39,dm40,dm41,dm42,dm43,dm44,dm45,dm46,dm47,dm48,dm49,dm50,dm51,dm52,dm53,dm54,dm55,dm56,dm57,dm58,dm59,dm60,dm61,dm62,dm63,dm64,dm65,dm66,dm67,dm68,dm69,dm70,dm71,dm72,dm73,dm74,dm75,dm76,dm77,dm78,dm79,dm80,dm81,dm82,dm83,dm84,dm85,dm86,dm87,dm88,dm89,dm90,dm91,dm92,dm93,dm94,dm95,dm96,dm97,dm98,dm99,dm100
0, 운영체제 서비스 (Operating System Services),운영체제 서비스,-0.0053632534,-0.0005123329,0.0071468106,-0.0016104358,0.006108254,-0.0012651256,5.411671e-05,0.008724488,0.0029530262,-0.0061718663,-0.0032745772,-0.008314008,-0.0067067323,0.0026689612,-0.0011047258,-0.0008428218,0.0039577167,0.004458338,0.001294083,-0.002893498,-0.0006687901,-0.0015374923,0.004682247,-0.0012766756,0.0034914433,0.004964293,-0.0069199335,0.0062957252,-0.002510243,0.007939292,0.0017739141,-0.0010980783,0.0004593454,-0.0035536927,-0.0009479567,-0.002434216,-9.730784e-05,-0.0015218211,0.0058128275,0.0038684942,0.0028204813,-0.00069415686,-0.0057503274,-0.00082250434,-0.0055344393,-0.0011902754,0.0070762504,-0.003687383,-0.001940676,0.0037387626,0.0077799493,-0.00870662,0.0001609658,-0.0012901895,-0.00013186177,0.0024688279,0.0030013002,0.0046018055,0.0028464207,0.0074831005,-0.008829506,-0.0012218811,0.0015160646,-0.0017649252,-0.0014220267,0.0034517723,0.009225614,-0.0029751451,-0.0018004682,0.0050944677,0.0008855334,-0.001180155,0.0054363087,0.00042876904,0.00016846863,-0.0031815525,-0.0011484334,-0.0053892443,-0.0021381062,-0.0013944644,-0.009341247,0.0048931474,0.0015493124,0.002494575,-0.002361245,-0.0012253028,0.0038103105,-0.0060780724,-0.00029111234,-0.0016875409,0.0028615226,-0.0017668996,0.004287335,-0.007653064,0.0011134169,0.0020212142,0.007376225,0.001316393,-0.0011751095,0.0057561034
1, 운영체제 사용자 인터페이스 (User Operating System Interface),운영체제 사용자 인터페이스,-0.0006295063,0.0020803777,0.0018557726,-0.0014233137,0.0025170837,-0.0028960847,-0.0019031751,0.006139905,-0.005848295,-0.003149352,0.0010452266,-0.0060266997,0.004210647,0.0018598491,0.0050073164,0.0016899897,0.004978827,0.003943486,-0.003208003,-0.0063534137,-0.0020376386,-0.003985506,0.0043144934,-0.0078122863,0.0026728828,0.00057269115,0.0006476117,0.0018232359,-0.0012832533,0.0050711264,0.004630563,-0.003429172,0.0006780096,-0.0009490603,0.00019000645,0.0029267285,0.0030667104,0.0018096708,0.0016251106,0.0014319769,-4.3619075e-05,-0.0028725304,-0.005351426,0.004706536,-0.0013444934,0.0015550179,0.0011283183,-0.0019640555,-0.0028961252,0.0008246936,0.0019110807,-0.005129778,-0.005158937,-0.0008131161,-0.0028536224,0.0012472221,0.00086298655,0.00050277036,-0.001375105,0.0029249573,-0.0040196935,-0.0013252764,0.0019446777,-0.0007814011,-0.0058027133,0.0071037808,0.0029944947,-0.0019592198,0.00037254766,0.0041349493,0.00083040446,0.0018046553,0.002829718,0.005924683,0.0001832695,0.004122217,0.0030233306,-0.002736479,-0.0011488567,0.0012900715,-0.0011757974,0.0013984959,0.00042909896,0.0013421696,-0.00281813,-0.001040078,-0.0032793542,-0.0034955423,0.006745429,-0.00017669087,0.0024999555,0.0022823182,0.003275448,-0.0018147896,0.00083355827,0.0032221961,0.0072898353,-0.0031619477,0.0011004312,-0.0039194026
2, 시스템 콜 (System Calls),시스템 콜,-0.0038616506,0.0010727018,-0.0012534785,0.003639984,-0.0026207748,-0.001704517,0.004142383,0.006939588,-0.005424597,0.0014265443,0.0004175154,0.00069337955,-0.0063576316,0.0050366265,-0.0048510972,-0.0034797736,0.0001302202,0.0023776793,-0.0013549393,-0.00876772,0.0045733554,-0.0017045657,0.0076015973,0.004566904,0.0017597697,-0.0014863503,-0.00043718604,0.0054355464,-0.008868016,-0.0014813924,0.00031238794,0.00084277964,0.005578268,-0.009146545,0.0028309217,-0.003304176,0.0026992885,-0.0018683153,-0.00031571314,-0.0027580215,-0.004196654,-0.0017541518,-0.00918454,0.002454378,0.0035602555,-0.0037612666,-0.002544963,0.0048971777,0.0054165195,0.0014306332,-0.0015542314,0.0037628836,0.0026637802,-0.0018222665,0.0029211014,-0.0054971245,-0.0023064457,-0.007615284,-0.003518648,0.0017818296,0.0020432493,-0.002923112,-0.00096015725,-0.0037515298,-0.0036804187,0.001357535,0.005147461,0.007934099,-0.004557739,0.0066259033,-0.0005172866,0.0071779042,-0.0014385862,-0.0029851017,0.004516973,0.0039256657,0.0027816528,0.003787039,0.0017435184,-0.008933896,-0.004808987,-0.002342302,0.0033382266,0.0029328968,-0.006629175,-0.0030281977,0.0072012716,-0.000425798,-0.005190159,0.0009007859,0.0035185884,-0.0018589883,0.004261324,-0.0017738973,0.006942604,-0.001050289,-0.0009771422,-0.0017498042,0.0010258928,0.0044195643
3, 시스템 콜 유형 (Types of System Calls),시스템 콜 유형,-0.002766873,0.0011857621,-0.0012209718,0.0010780047,-0.0014593386,-0.0043658637,0.003231394,0.0032486375,-0.0055521047,0.0022190388,0.00075925025,0.0016615025,-0.0039376477,0.00019513117,8.96838e-05,-0.0034989768,-0.0006478464,0.003963624,-0.0008774979,-0.0048330585,0.0038100742,-0.000336422,0.0073260264,0.0062005986,0.0009813226,-0.0021415674,0.0012348938,0.0008418495,-0.0030870326,-0.00018713466,0.0022125083,0.0014914345,0.0032784198,-0.005780174,0.00028915785,0.0008320012,0.00348856,-4.7167065e-05,-0.0018711762,-0.0047208457,-0.00014766771,-0.00018456276,-0.007539593,-0.0012517452,0.0010518992,-0.0020330774,-0.0047680605,0.0032853214,0.0045523057,-0.0023636234,-0.0010883921,0.00048002717,0.0005794121,-0.0017643631,-0.0013819615,-0.0048639346,-0.0038770097,-0.0075177755,-0.0018151477,0.0019625768,0.0044565606,0.0010112933,-0.0027825937,-0.0055712275,0.000171063,0.002710788,0.0057428596,0.0043098936,-0.0047836853,0.00289992,-0.003125052,0.006736765,-0.0021103201,0.0008787429,0.0011195076,0.0058237547,0.00035663985,0.005408815,-0.0006392802,-0.008447901,-0.0006515549,-0.0048138704,-0.0007084147,0.0036102645,-0.0076775937,-0.00025678147,0.006016608,-0.0026288137,-0.0024029615,0.0010759634,0.0052207094,-0.00027335074,0.0011269001,-0.0019679158,0.0069201235,-0.0029097302,0.0024397096,-0.0022427374,-0.0008665479,0.0014933398
4, 시스템 프로그램 (System Programs),시스템 프로그램,-0.004433802,0.0050968104,0.00225774,0.003769351,-0.0021786157,-0.0066122147,0.0048541995,0.0092207985,-0.00033061323,-0.005904941,0.008241163,0.0008183158,-0.0003010356,0.000840819,0.0019396585,-0.0023960508,0.006071055,-0.003065531,-0.008313349,-0.0027487238,0.004958934,0.0015163152,0.008452597,0.0046673976,-0.0017260297,-0.000627737,0.0022518646,0.004649436,-0.0034815038,-0.0015660529,-0.0028339466,-0.0021667436,0.0013315857,-0.005496813,0.0005721655,0.0042259293,0.008797007,-0.0065320255,-0.004590721,0.0015002952,-0.003365572,0.004279861,-0.001144401,-0.003528752,0.004150055,0.0011105527,-0.0027701654,0.0036215056,0.0014285364,0.0037722988,-0.0014847817,0.0017162213,-0.0070876274,-0.0043855375,0.00059492793,-0.0019303075,0.0035447525,0.0016774663,-0.00015290827,0.002898785,-0.00028744806,0.0026184563,0.0016649116,-0.0046627587,0.00030649744,-0.0011652983,-0.0002863601,0.007360353,-0.0033962717,-0.0027658283,0.005253751,0.0022259543,-0.00057569216,0.00032745628,0.0018487994,-0.0019559246,0.0012770311,0.0029421626,-0.0048186104,-0.003132002,-0.0033857462,0.004530768,0.004123085,0.0055412236,-0.0038547874,-0.00035250594,0.007549341,0.0011074996,-0.0016845807,-0.0013476859,-0.0018592295,-6.170067e-05,0.0012339816,-0.0009211882,0.010356446,0.0027860617,-0.0012003309,-0.00788745,-0.0006421618,0.00013866927
5, 운영체제 설계 및 구현 (Operating System Design and Implementation),운영체제 설계 및 구현,-0.00022457476,0.0016179434,0.0024407636,0.0046128575,0.00011317682,-0.00444552,0.0001239097,0.0025096664,-0.0024005156,-0.004276456,0.0015014387,-0.0019088901,0.0005451812,0.0047087213,0.0024873065,-0.0015828054,-0.0026074979,0.0037184309,0.0002153794,0.0016877787,0.0035786754,-0.0011712888,0.003495057,-0.0042791385,-0.0010219294,-7.3074596e-05,0.00062780303,6.638613e-05,-0.004905035,0.0025280192,0.0035711972,-0.0014787677,0.0004825078,-0.0021669301,0.0026841844,-0.0020962823,2.3606932e-05,0.0042755553,0.0015713682,-0.00053256995,0.0018190225,-0.00082882936,-0.003565626,0.0013367058,-0.0016238968,-0.0006248052,0.001257833,-0.0033504996,0.0067607164,-0.00042642385,0.003135737,-0.0036339378,-0.0010218235,-0.0041028596,0.0026635227,0.0023950755,0.0039162706,0.0030843941,-0.0042937356,0.0017321173,-0.0028236741,0.00463753,0.00088626007,-0.003875922,-0.0032893363,0.007482568,0.00092849694,-0.005574932,0.0010327064,0.0003418856,-0.0026586084,-0.0031464202,0.0031913302,0.00068028836,0.002502298,0.0025952114,4.699739e-05,-0.001453766,-0.0010694762,-0.0009868776,-0.0052020885,0.0036785805,-0.002954509,-0.001622082,-0.00509007,-0.0019255192,0.0013558022,-0.001151281,0.004121386,0.0025806124,-0.0002735661,0.002093185,-0.00059990515,-0.0020297146,0.0014460668,-0.0019284164,0.001982647,-0.0005817088,-0.0039630895,-0.0031756847
6, 운영체제 구조 (Operating System Structure),운영체제 구조,-0.008058158,0.004306523,0.0034714811,0.0068273107,0.001361321,-0.006405169,-0.0022620999,0.006068185,-0.0044341395,0.0008048944,-0.0023694134,-0.009652476,-0.005096336,0.007470848,-0.0014340768,0.0006432934,-0.000119745964,0.005863257,-0.00028837356,-0.0003408451,-2.9914547e-05,0.0008762388,0.001372813,-0.0063454676,0.0003627336,0.00072984654,-0.0038065012,0.006268693,-0.0015846768,-0.0007766541,0.0029821435,-0.0054251216,0.0013371642,0.0011172418,-0.001357036,0.006433433,0.007863733,-0.001122388,0.00043619005,0.008186298,0.007864827,-0.006748924,-0.0078881355,0.0038239167,0.0008357229,0.0077514034,-0.0012358697,-0.0055368408,0.00213528,-0.0037188795,0.002053618,-0.0070302812,0.0045063146,0.0059975605,-0.002463545,0.0075872485,0.008933381,0.0023973193,0.003181282,0.0077469023,-0.0029195505,-0.000337085,-0.0050087413,-0.0043620616,0.0045011914,0.00013724784,0.002995872,0.0022526467,0.00456185,0.0074439775,-0.0062914537,-0.0047189775,0.006194226,0.0008875432,0.0041805212,0.0016181439,-0.0035623345,-0.0023890163,0.00150892,-0.0043701925,-0.0092233475,0.0012044541,0.00041548104,-0.00013689813,-0.0032272579,0.0018727141,-0.0034158486,-0.00783536,0.0065670796,0.0020367254,-0.00013946742,0.0013477423,-0.0018979061,-0.008126128,-0.003263367,0.0051616654,0.0062140254,0.0029382575,-0.0009952537,0.00519035
7, 운영체제 디버깅 (Operating System Debugging),운영체제 디버깅,-0.008388121,0.0017317701,0.0055723125,0.007433356,0.0013049301,-0.0054254816,-0.0022181924,0.004945701,-0.0008429352,-0.008403649,0.0009864013,-0.009444745,-0.0025208162,0.0066442876,-0.00092605734,0.0034289244,0.0024992898,-0.0014539182,-0.0030966704,0.00047465123,-0.00271255,-0.00510855,0.004202164,-0.0013622104,0.004047771,0.006176588,-0.0066540004,0.0065540136,-0.003972174,0.00038654776,0.0018030764,-0.0010401909,-0.0013990226,0.00010892353,0.0013371243,0.0035551074,0.0065829656,-0.0019058208,0.0038100649,0.001124745,-0.0006516315,-0.0026659388,-0.0032644258,-0.001340984,-0.0020125778,0.000368339,0.000936124,-0.00012189738,0.0051534027,0.004723196,0.0027417098,-0.003501761,-0.0016354383,-0.000656722,-0.0028269747,0.0015987239,0.0065229386,-0.0003246381,-0.0053710393,0.0018832202,-0.00023363763,0.002527022,0.00029142224,0.0012881188,-0.0025652375,0.00089224894,0.008382799,9.4222836e-05,0.005159945,0.008852602,0.0021375949,-0.005677118,0.0040390645,0.006044872,0.0048882463,0.001789422,-0.0075525306,-0.003907488,0.0043044873,-0.0009299851,-0.0049397987,0.005787975,0.0048800334,-0.0060410444,-0.0010198628,-0.005209942,0.0034267125,-0.0025514849,0.0012301386,-0.0014900129,0.0054145595,0.0036733397,0.004130662,-0.0021601736,0.00025972637,0.0059097665,0.0036564239,-0.0015506719,-0.009308628,0.0031151967
8, 운영체제 생성 (Operating System Generation),운영체제 생,-0.003488616,0.0057410393,0.0038108956,-0.0004525222,0.007755104,-0.0072011063,0.00536478,0.006031787,-0.0042395405,-0.0058582057,-0.0024395504,-0.008229598,0.0019772323,0.0030374196,0.0056153964,-0.0015924592,0.0046724207,0.0020681783,0.0018970396,-0.006511217,0.0053603305,-0.004704141,0.001525641,-0.008222885,0.0017007252,-0.0004280937,-0.004436369,-0.0017644186,-0.0013246223,0.003309429,0.0049638883,-0.00010938535,-0.003770754,-0.0054055797,0.0041358937,0.0066417996,-0.0013622711,0.005907556,0.0076009925,0.0013939599,0.007882824,-0.009112926,-0.00082586124,0.002596584,-0.00031219574,0.0011585385,0.00038202223,-0.002448881,0.00219151,0.002035676,0.008266328,-0.00040185405,0.0041119563,-0.00022284256,0.0037255469,0.0043599377,0.0072149737,0.0048825834,-0.0020935582,0.005988065,-0.0065886974,-0.0012467558,-0.0062437514,-0.001882495,0.0036983588,0.0036877203,0.005222396,-0.00070527825,0.00678867,0.00070169684,-0.0012353822,-0.008043103,0.005418974,0.007987352,0.0042790147,8.770381e-05,0.0006609473,0.0019697587,0.0052032047,0.0028701634,-0.0075906366,0.006644461,0.004109036,-0.0033098292,0.0044794087,0.0016168908,0.004731865,-0.002339053,0.0074233236,-0.0018896293,0.0062763905,0.0014672133,0.0043440643,-0.005533875,0.0030449708,0.0055345027,0.0020160205,-0.0027782677,-0.0027218997,-0.0017227364
9, 시스템 부팅 (System Boot) ,시스템 부팅,0.0013798743,-0.0041730017,0.004707481,0.0070688417,-0.008455267,-0.008573389,-0.0004456879,0.0017629326,-0.0024053198,-0.0007746689,-0.0012104146,0.0019806842,-0.0022984222,0.0014827582,-0.0049447417,-0.0011526921,0.0056537306,0.0023434602,0.0001814412,-0.009137415,0.0030765145,0.0017457983,-0.00020241085,0.00091812306,-0.00075089955,0.0010198816,-0.005054205,0.003423749,-0.0044332594,-0.0053325137,0.0008997405,0.0030108877,0.006655891,-0.0012757704,-0.0017641278,0.0019911374,0.0031291982,-0.0010882297,0.0012946066,-0.0037637784,-0.0050084926,0.0032666153,-0.007148669,0.0029240104,-0.0031311982,0.0044523375,-0.0013416703,0.0016727252,0.0003191561,0.006268044,-0.006516857,0.005405967,0.0012854079,-0.0039843423,0.005286387,-0.0011353448,0.0019294366,-0.0069804294,-0.0064663906,0.0017960053,-0.004481689,-0.0012047299,-0.0046702535,-0.0035147704,-0.0037945146,0.002120091,-0.0025785817,0.003273114,-0.005350865,0.0065173493,0.004343862,0.004247559,-0.0005896963,-0.0023435142,0.005320738,-0.0011069141,-0.0009640618,0.0018905585,-0.0023022813,-0.0016768046,-0.003464597,0.003148693,0.0016706943,0.006745764,-0.0034163212,0.0017743532,0.006894431,0.0020255912,-0.00020057359,0.0067041884,0.0024247924,-0.0036110438,0.0032623108,-0.00016831295,0.0017552697,-0.0009294811,-0.005969595,0.00043524895,-0.0010267867,0.002303055
