,Document,re
0, 운영체제 서비스 (Operating System Services),7
1, 운영체제 사용자 인터페이스 (User Operating System Interface),20
2, 시스템 콜 (System Calls),16
3, 시스템 콜 유형 (Types of System Calls),16
4, 시스템 프로그램 (System Programs),13
5, 운영체제 설계 및 구현 (Operating System Design and Implementation),20
6, 운영체제 구조 (Operating System Structure),9
7, 운영체제 디버깅 (Operating System Debugging),20
8, 운영체제 생성 (Operating System Generation),14
9, 시스템 부팅 (System Boot) ,6
10,목표 (Objectives),22
11," 운영체제가 사용자, 프로세스, 다른 시스템에 제공하는 서비스 설명",6
12, 운영체제를 구성하는 다양한 방법에 대해 논의,20
13," 운영체제 설치, 맞춤화 과정(customization), 부팅하는 방법",20
14,운영체제 서비스 : View,7
15, 운영체제는 사용자(또는 프로그램) 들에게 프로그램의 실행 환경을 제공한다  ,10
16, 사용자 프로그램의 적절한 실행과 시스템의 효율적 운용을 담당한다 ,6
17,운영체제 서비스 (Operating System Services)  ,7
18, 사용자 업무를 수행하는 데 필요한 기능을 제공하는 운영체제 서비스,20
19,사용자 인터페이스,11
20, 명령어 라인 인터페이스 (Command Line Interface)– 문자열 명령 입력,0
21, 배치 인터페이스 (Batch Interface)– 명령어 또는 명령어 집합을 파일로 제공,0
22,운영체제 서비스 (Operating System Services)  ,7
23, 사용자 업무를 수행하는 데 필요한 기능을 제공하는 운영체제 서비스,20
24,프로그램 실행 (Execution),10
25," 프로그램을 메모리에 적재, 실행, 실행 종료 (정상 또는 비정상)",10
26,입출력 연산 (I/O),1
27, 프로그램 실행에서 요구하는 파일 또는 입출력 장치 등의 입출력 서비스 ,0
28,운영체제 서비스 (Operating System Services)  ,7
29, 사용자 업무를 수행하는 데 필요한 기능을 제공하는 운영체제 서비스,20
30,파일 시스템,15
31, 파일과 디렉토리 생성과 삭제,15
32, 파일과 디렉토리 읽고 쓰기,15
33, 파일과 디렉토리 찾기,15
34, 파일 정보 보기,15
35, 파일 접근 권한 관리메시지 전달(Message Passing)공유 메모리(Shared Memory),0
36,통신,25
37, 동일한 컴퓨터 또는 네트워크로 연결된 컴퓨터에 있는 프로세스 간정보 교환,0
38, 통신은 메시지 전달 기법 (운영체제가 패킷을 이동하는데 관여함) 또는 공유 메모리를 이용 ,0
39,운영체제 서비스 (Operating System Services)  ,7
40, 사용자 업무를 수행하는 데 필요한 기능을 제공하는 운영체제 서비스,20
41,오류 탐지 (Error Detection),1
42, 운영체제는 가능한 모든 오류를 인지하고 있어야 함,20
